,State Postal,Unnamed: 1,County Number,FIPS Code,County Name,Unnamed: 5,Office Description,Precincts Reporting,Total Precincts,State Candidate Number (varies between state),TOTAL VOTES CAST,Order,Party,First name,Middle name,Last name,Junior?,Use Junior,Incumbent,Votes,Winner,National Politician ID (NPID),State Candidate Number (varies between state).1,Order.1,Party.1,First name.1,Middle name.1,Last name.1,Junior?.1,Use Junior.1,Incumbent.1,Votes.1,Winner.1,National Politician ID (NPID).1,State Candidate Number (varies between state).2,Order.2,Party.2,First name.2,Middle name.2,Last name.2,Junior?.2,Use Junior.2,Incumbent.2,Votes.2,Winner.2,National Politician ID (NPID).2,State Candidate Number (varies between state).3,Order.3,Party.3,First name.3,Middle name.3,Last name.3,Junior?.3,Use Junior.3,Incumbent.3,Votes.3,Winner.3,National Politician ID (NPID).3,State Candidate Number (varies between state).4,Order.4,Party.4,First name.4,Middle name.4,Last name.4,Junior?.4,Use Junior.4,Incumbent.4,Votes.4,Winner.4,National Politician ID (NPID).4,State Candidate Number (varies between state).5,Order.5,Party.5,First name.5,Middle name.5,Last name.5,Junior?.5,Use Junior.5,Incumbent.5,Votes.5,Winner.5,National Politician ID (NPID).5,State Candidate Number (varies between state).6,Order.6,Party.6,First name.6,Middle name.6,Last name.6,Junior?.6,Use Junior.6,Incumbent.6,Votes.6,Winner.6,National Politician ID (NPID).6,State Candidate Number (varies between state).7,Order.7,Party.7,First name.7,Middle name.7,Last name.7,Junior?.7,Use Junior.7,Incumbent.7,Votes.7,Winner.7,National Politician ID (NPID).7,State Candidate Number (varies between state).8,Order.8,Party.8,First name.8,Middle name.8,Last name.8,Junior?.8,Use Junior.8,Incumbent.8,Votes.8,Winner.8,National Politician ID (NPID).8,State Candidate Number (varies between state).9,Order.9,Party.9,First name.9,Middle name.9,Last name.9,Junior?.9,Use Junior.9,Incumbent.9,Votes.9,Winner.9,National Politician ID (NPID).9,State Candidate Number (varies between state).10,Order.10,Party.10,First name.10,Middle name.10,Last name.10,Junior?.10,Use Junior.10,Incumbent.10,Votes.10,Winner.10,National Politician ID (NPID).10,State Candidate Number (varies between state).11,Order.11,Party.11,First name.11,Middle name.11,Last name.11,Junior?.11,Use Junior.11,Incumbent.11,Votes.11,Winner.11,National Politician ID (NPID).11,State Candidate Number (varies between state).12,Order.12,Party.12,First name.12,Middle name.12,Last name.12,Junior?.12,Use Junior.12,Incumbent.12,Votes.12,Winner.12,National Politician ID (NPID).12,State Candidate Number (varies between state).13,Order.13,Party.13,First name.13,Middle name.13,Last name.13,Junior?.13,Use Junior.13,Incumbent.13,Votes.13,Winner.13,National Politician ID (NPID).13,State Candidate Number (varies between state).14,Order.14,Party.14,First name.14,Middle name.14,Last name.14,Junior?.14,Use Junior.14,Incumbent.14,Votes.14,Winner.14,National Politician ID (NPID).14,State Candidate Number (varies between state).15,Order.15,Party.15,First name.15,Middle name.15,Last name.15,Junior?.15,Use Junior.15,Incumbent.15,Votes.15,Winner.15,National Politician ID (NPID).15,TOTAL VOTES CAST.1
0,AK,AK Alaska,1,0,Alaska,AK Alaska,President,437,438,6017,220596,1,Dem,Barack,,Obama,,0,1,91696,,1918,6018,2,GOP,Mitt,,Romney,,0,0,121234,X,893,6028.0,3.0,Lib,Gary,,Johnson,,0.0,0.0,5539.0,,31708.0,6142.0,4.0,Grn,Jill,,Stein,,0.0,0.0,2127.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220596
1,AK,AK Alaska,2001,2000,Alaska,AK Alaska,President,437,438,6017,220596,1,Dem,Barack,,Obama,,0,1,91696,,1918,6018,2,GOP,Mitt,,Romney,,0,0,121234,X,893,6028.0,3.0,Lib,Gary,,Johnson,,0.0,0.0,5539.0,,31708.0,6142.0,4.0,Grn,Jill,,Stein,,0.0,0.0,2127.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220596
2,AL,AL Alabama,1,0,Alabama,AL Alabama,President,2711,2711,4423,2064699,1,Dem,Barack,,Obama,,0,1,793620,,1918,4425,2,GOP,Mitt,,Romney,,0,0,1252453,X,893,4512.0,3.0,Ind,Virgil,,Goode,,0.0,0.0,2961.0,,713.0,4513.0,4.0,Ind,Gary,,Johnson,,0.0,0.0,12283.0,,31708.0,4514.0,5.0,Ind,Jill,,Stein,,0.0,0.0,3382.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064699
3,AL,AL Autauga,1001,1001,Autauga,AL Autauga,President,28,28,4423,23909,1,Dem,Barack,,Obama,,0,1,6354,,1918,4425,2,GOP,Mitt,,Romney,,0,0,17366,X,893,4512.0,3.0,Ind,Virgil,,Goode,,0.0,0.0,31.0,,713.0,4513.0,4.0,Ind,Gary,,Johnson,,0.0,0.0,136.0,,31708.0,4514.0,5.0,Ind,Jill,,Stein,,0.0,0.0,22.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23909
4,AL,AL Baldwin,1002,1003,Baldwin,AL Baldwin,President,55,55,4423,84988,1,Dem,Barack,,Obama,,0,1,18329,,1918,4425,2,GOP,Mitt,,Romney,,0,0,65772,X,893,4512.0,3.0,Ind,Virgil,,Goode,,0.0,0.0,122.0,,713.0,4513.0,4.0,Ind,Gary,,Johnson,,0.0,0.0,597.0,,31708.0,4514.0,5.0,Ind,Jill,,Stein,,0.0,0.0,168.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84988
5,AL,AL Barbour,1003,1005,Barbour,AL Barbour,President,19,19,4423,11459,1,Dem,Barack,,Obama,,0,1,5873,,1918,4425,2,GOP,Mitt,,Romney,,0,0,5539,X,893,4512.0,3.0,Ind,Virgil,,Goode,,0.0,0.0,9.0,,713.0,4513.0,4.0,Ind,Gary,,Johnson,,0.0,0.0,32.0,,31708.0,4514.0,5.0,Ind,Jill,,Stein,,0.0,0.0,6.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11459
6,AL,AL Bibb,1004,1007,Bibb,AL Bibb,President,10,10,4423,8391,1,Dem,Barack,,Obama,,0,1,2200,,1918,4425,2,GOP,Mitt,,Romney,,0,0,6131,X,893,4512.0,3.0,Ind,Virgil,,Goode,,0.0,0.0,13.0,,713.0,4513.0,4.0,Ind,Gary,,Johnson,,0.0,0.0,38.0,,31708.0,4514.0,5.0,Ind,Jill,,Stein,,0.0,0.0,9.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8391
7,AL,AL Blount,1005,1009,Blount,AL Blount,President,28,28,4423,23980,1,Dem,Barack,,Obama,,0,1,2961,,1918,4425,2,GOP,Mitt,,Romney,,0,0,20741,X,893,4512.0,3.0,Ind,Virgil,,Goode,,0.0,0.0,59.0,,713.0,4513.0,4.0,Ind,Gary,,Johnson,,0.0,0.0,169.0,,31708.0,4514.0,5.0,Ind,Jill,,Stein,,0.0,0.0,50.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23980
8,AL,AL Bullock,1006,1011,Bullock,AL Bullock,President,18,18,4423,5318,1,Dem,Barack,,Obama,,0,1,4058,,1918,4425,2,GOP,Mitt,,Romney,,0,0,1250,X,893,4512.0,3.0,Ind,Virgil,,Goode,,0.0,0.0,4.0,,713.0,4513.0,4.0,Ind,Gary,,Johnson,,0.0,0.0,3.0,,31708.0,4514.0,5.0,Ind,Jill,,Stein,,0.0,0.0,3.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5318
9,AL,AL Butler,1007,1013,Butler,AL Butler,President,28,28,4423,9483,1,Dem,Barack,,Obama,,0,1,4367,,1918,4425,2,GOP,Mitt,,Romney,,0,0,5081,X,893,4512.0,3.0,Ind,Virgil,,Goode,,0.0,0.0,9.0,,713.0,4513.0,4.0,Ind,Gary,,Johnson,,0.0,0.0,20.0,,31708.0,4514.0,5.0,Ind,Jill,,Stein,,0.0,0.0,6.0,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9483
